Type,Ville,adresse,Latitude,Longitude,source (lien),jour de la semaine,heure debut,heure fin,commentaire
Mixte,AMILLY,place de l'Eglise,47.975166,2.766296,https://www.amilly.com/ville-decouvrir/cadre-de-vie/marches-foires,dimanche,08:00,13:00,
Mixte,BEAUGENCY,Place du Martroi,47.777204,1.630042,,samedi,08:00,18:00,fin 16h30 en période hivernale
Mixte,BEAUGENCY,Place du Martroi,47.777204,1.630042,,mercredi,07:00,12:30,
Mixte,BEAULIEU SUR LOIRE,la Place de l'Eglise,47.543267,2.816778,,mercredi,08:00,12:00,
Mixte,BEAUNE LA ROLANDE,Place du Marché,48.070175,2.430870,,vendredi,07:30,13:00,
Mixte,BELLEGARDE,Place Charles Desvergnes,47.988208,2.442508,,lundi,06:00,13:00,
Mixte,BOISCOMMUN,Place du Marché,48.03726,2.3827,,jeudi,08:00,13:00,
Mixte,BOISCOMMUN,Place du Marché,48.03726,2.3827,,dimanche,08:00,13:00,
Mixte,BONNY SUR LOIRE,Place Beaupin-Lagier,47.56035,2.84044,,samedi,08:00,13:00,
Mixte,BRIARE,place du Champ de Foire,47.590959,2.749182,,vendredi,07:00,13:00,
Mixte,Cepoy,Place Saint-Loup,48.045445,2.738836,,dimanche,08:30,12:30,
Mixte,CHAINGY,Place du Bourg,47.883469,1.772082,,dimanche,08:30,13:00,
Alimentaires,CHAINGY,Place du Bourg,47.883469,1.772082,,samedi,07:00,13:00,
Mixte,CHALETTE SUR LOING,Place Jean Jaures,48.01272,2.73093,,1er dimanche du mois,08:00,13:00,1er du mois
Mixte,CHALETTE SUR LOING,Place Jean Jaures,48.01272,2.73093,,mardi,07:00,13:00,
Mixte,CHALETTE SUR LOING,Place Lavoisier,48.020236,2.714833,,vendredi,07:00,13:00,
Mixte,Chanteau,Route d'Orléans,47.966137,1.972245,,jeudi,09:00,12:00,
Mixte,CHÂTEAU RENARD,place du Château,47.930302,2.926543,,mercredi,08:30,12:30,
Alimentaires,CHATEAUNEUF SUR LOIRE,Place de la Nouvelle Halle ,47.863772,2.222412,,vendredi,08:00,13:00,
Mixte,CHATILLON COLIGNY,Place Aristide Briand,47.822701,2.846061,,vendredi,08:00,12:00,
Mixte,CHATILLON SUR LOIRE,Place Sainte-Anne,47.591648,2.752758,,jeudi,08:00,13:00,
Mixte,CHATILLON SUR LOIRE,Grande rue,47.627174,2.731604,,jeudi,07:00,13:00,
Mixte,CHECY,Place Jeanne d'Arc,47.891844,2.024286,,samedi,07:00,13:00,
Alimentaires,CHEVILLY,place Lucien PAILLET,48.026120,1.874293,http://www.chevilly.fr/fr/information/95405/marche,vendredi,13:00,20:00,
Mixte,CHILLEURS AUX BOIS,Place de Romand,48.071662,2.134969,,jeudi,07:30,13:00,
Mixte,CLERY SAINT ANDRE,Rue du Cloître,47.819454,1.756227,,samedi,08:00,12:30,
Mixte,CORBEILLES,Place Saint Germain,48.072491,2.549744,,jeudi,07:00,13:00,
Mixte,Corquilleroy,Place de la Liberté,48.045010,2.697957,,mercredi,08:00,12:00,
Mixte,COULLONS,place du Monument,47.620249,2.493238,,vendredi,08:00,13:00,
Mixte,COULLONS,place du Monument,47.620249,2.493238,,dimanche,09:00,12:00,
Mixte,COURTENAY,Place Armand Chesneau,48.040530,3.057573,,jeudi,07:00,13:00,
Alimentaires,FAY AUX LOGES,Place des Marronniers,47.929483,2.139528,,mercredi,07:00,13:00,
Mixte,FERRIERES EN GATINAIS,rue des Eglises,48.090695,2.788606,,vendredi,08:00,12:30,
Mixte,FLEURY LES AUBRAIS,Place Denis Papin,47.930534,1.909848,,mardi,08:00,13:00,
Mixte,FLEURY LES AUBRAIS,Boulevard de Lamballe,47.925921,1.920293,,dimanche,08:00,13:00,
Mixte,FLEURY LES AUBRAIS,Place de la Commune de Paris,47.925916,1.907731,,mercredi,16:00,20:30,
Mixte,GIEN,Place Jean Jaures,47.684664,2.629498,,mercredi,07:00,13:00,
Mixte,GIEN,Place de la Victoire,47.688596,2.622337,,samedi,07:00,13:00,
Alimentaires,INGRE,Place Lucien Feuillatre,47.919782,1.831599,,mardi,14:30,19:30,
Alimentaires,INGRE,Place Lucien Feuillatre,47.919782,1.831599,,vendredi,14:30,19:00,
Alimentaires,JARGEAU,Les Halles,47.866073,2.122690,,samedi,09:00,13:00,marché biologique trimestriel
Mixte,JARGEAU,Halle de jargeau,47.866073,2.122690,,mercredi,14:00,18:00,
Mixte,JARGEAU,Boulevard Carnot,47.866352,2.123499,,mercredi,12:00,19:00,
Mixte,JARGEAU,place du Martroy,47.867165,2.122292,,samedi,09:00,13:00,marché biologique trimestriel
Mixte,JOUY LE POTIER,place Ernest de Basonnière,47.745888,1.810315,,mercredi,08:00,12:00,
Mixte,LA CHAPELLE SAINT MESMIN,parking de l'Espace Béraire,47.890862,1.836222,,samedi,08:00,13:00,"Gastronomie, produits régionaux"
Mixte,LA FERTE SAINT AUBIN,"Place de la Halle, Rue de le Halle",47.722400,1.940965,,jeudi,07:00,12:00,
Alimentaires,LA SELLE SUR LE BIED,Place de l’Eglise,48.063509,2.895514,,samedi,08:30,13:00,"En raison des travaux d’aménagement de la Place Ile de France, le marché est transféré Place de l’Eglise."
Mixte,LADON,Halle de Ladon,48.003007,2.536823,,dimanche,07:00,13:00,
Mixte,LORRIS,Place du Martroi,47.889516,2.514696,,jeudi,07:00,13:00,
Mixte,MALESHERBES,rue de la république,48.294972,2.415080,,mercredi,07:00,12:30,
,Manchecourt,Place Salle Polyvalenyte,48.237033,2.344929,,vendredi,07:30,12:30,
,Marcilly en Villette,Place de l'Eglise,47.765036,2.021470,,samedi,08:30,13:00,
Alimentaires,MAREAU AUX PRES,Place de la Halle,47.845139,1.797102,,jeudi,16:00,20:00,
Mixte,MEUNG SUR LOIRE,La Halle,47.824420,1.695769,,dimanche,08:00,13:00,"la halle et dans un périmètre délimité par la place du Martroi, les rues du Martroi"
Mixte,MEUNG SUR LOIRE,Plave du Matroi,47.824402,1.694993,,dimanche,08:00,13:00,
Mixte,MONTARGIS,Place Girodet,47.997654,2.730494,,mercredi,08:00,12:00,
Non alimentaire,MONTARGIS,Place Girodet,47.997654,2.730494,,samedi,08:00,18:00,
Alimentaires,MONTARGIS,Place de la République,47.995947,2.733480,,samedi,07:00,13:00,
Mixte,Montcresson,Allée des Pigeonniers,47.905687,2.807033,,samedi,08:00,13:00,
Alimentaires,NEUVILLE AUX BOIS,Place du Gal LECLERC,48.069944,2.053685,,lundi,07:00,13:00,
Mixte,NOGENT SUR VERNISSON,place de la république,47.846772,2.741430,,jeudi,08:00,13:00,
Mixte,OLIVET,Rue des Fauvettes,47.873328,1.901656,,mercredi,08:00,13:00,
Mixte,OLIVET,Place Louis Sallé,47.865032,1.901530,,vendredi,12:00,19:00,
Alimentaires,ORLEANS,Place de la Bascule,47.894302,1.906877,,Mardi,08:00,12:00,
Alimentaires,ORLEANS,rue Eugène Turbat,47.888036,1.906260,,Jeudi,07:30,12:30,
Alimentaires,ORLEANS,Place Albert Camus,47.834712,1.936326,,Samedi,07:30,12:30,
Alimentaires,ORLEANS,rue Paul Lemesle,47.914429,1.934273,,Vendredi,07:30,12:30,
Alimentaires,ORLEANS,Rue Docteur Guy Civil,47.923657,1.927448,,jeudi ,15:00,19:00,
Alimentaires,ORLEANS,Place de la République,47.901206,1.906013,,Mercredi,15:00,19:30,
Alimentaires,ORLEANS,Place Dunois,47.907908,1.893783,,Jeudi,15:00,19:30,
Alimentaires,ORLEANS,Place du Martroi,47.902512,1.904933,,Vendredi,16:30,21:30,
Mixte,ORLEANS,rue Charles le Chauve,47.923905,1.893089,,Mardi,07:30,12:30,
Mixte,ORLEANS,Place Charles d’Orléans,47.912606,1.908346,,Mercredi,07:30,12:30,
Mixte,ORLEANS,Place Albert Camus,47.834892,1.936158,,Jeudi,07:30,12:30,
Mixte,ORLEANS,allées Pierre Chevallier Accueil de,47.902024,1.880852,,Dimanche,08:00,12:30,
Non alimentaire,ORLEANS,rue Monseigneur Vié et rue des Jacobins Accueil de,47.915471,1.935363,,Vendredi,07:30,12:30,
Non alimentaire,ORLEANS,allées Pierre Chevallier,47.901987,1.880779,,Dimanche,08:00,13:30,
Non alimentaire,ORLEANS,boulevard Alexandre Martin,47.905217,1.910736,,Samedi,07:00,14:00,
Non alimentaire,ORLEANS,Place du Martroi,47.902512,1.904933,,Vendredi,08:00,19:00,
Alimentaires,ORMES,rue (Halle?) de la Poule Blanche,47.940637,1.820794,,dimanche,08:00,12:00,
Mixte,OUZOUER SUR LOIRE,place de l’Eglise,47.766559,2.480506,,dimanche,07:00,13:00,
Mixte,OUZOUER SUR TREZEE,Place de la Libération ,47.670446,2.810498,,dimanche,07:00,13:00,
Mixte,PANNES,Centre bourg,48.017890,2.668974,,dimanche,08:00,12:00,
Mixte,PANNES,Centre bourg,48.017890,2.668974,,jeudi,08:00,18:00,
Mixte,PATAY,place Jeanne d’arc,48.046151,1.696078,,mardi,13:30,19:00,après midi
Mixte,PITHIVIERS,haut du Mail Ouest,48.173806,2.253435,,mercredi,08:00,13:00,"emplacement provisoire jusqu'au mercredi 21 novembre 2019, pendant les travaux de la Place des Halles en travaux"
Mixte,PITHIVIERS,Place Maurice Ravel,48.176780,2.266233,,vendredi,08:00,18:00,
Mixte,PITHIVIERS,Mail ouest,48.173806,2.253435,,samedi,08:00,18:00,"sur la partie centrale du Mail Ouest du niveau du pavillon Sellier jusque sur le parking du mail Nord inclus, emplacement provisoire jusqu'au samedi 17 novembre 2019, pendant les travaux de la Place des Halles en travaux"
Mixte,PUISEAUX,halle et place du Martroi,48.204694,2.471177,,lundi,08:00,18:00,
Mixte,SAINT AY,"parking de la salle françois villon, rue de la métairie",47.860809,1.753904,,vendredi,16:00,19:00,
Alimentaires,SAINT AY,Place de la Mairie,47.858286,1.753701,,vendredi,16:00,19:00,
Mixte,SAINT CYR EN VAL,Place de l'Eglise,47.831628,1.968793,,dimanche,08:00,13:00,
Alimentaires,SAINT DENIS DE L'HOTEL,Avenue de la Tete Verte,47.870607,2.128926,,samedi,09:00,12:00,
Mixte,SAINT DENIS EN VAL,Place de l'Eglise,47.878768,1.956054,,dimanche,07:00,13:00,
Mixte,SAINT JEAN DE BRAYE,Place de la Planche de Pierre,47.911656,1.969435,,dimanche,08:00,13:00,
Mixte,SAINT JEAN DE LA RUELLE,Rue des Dix Arpents,47.908309,1.873987,,mercredi,07:30,13:00,
Mixte,SAINT JEAN DE LA RUELLE,Place des Tourmalines,47.921859,1.878848,,vendredi,12:00,19:00,
Alimentaires,SAINT JEAN DE LA RUELLE,Centre commercial des Chaises,47.922846 ,1.878249,,lundi,08:30,12:30,
Mixte,SAINT JEAN LE BLANC,rue de l'Ile de Corse,47.894746,1.924264,,samedi,08:00,12:00,
Mixte,SAINT JEAN LE BLANC,rue de l'Ile de Corse,47.894746,1.924264,,dimanche,08:00,13:00,
Mixte,SAINT PRYVE SAINT MESMIN,Place Clovis,47.879630,1.870442,,samedi,08:00,13:00,
Mixte,SANDILLON,Place du 8 mai 1945,47.844991,2.033372,,dimanche,08:00,12:30,
Mixte,SARAN,à l'angle de la rue du Bourg et de la rue de Fontaine,47.950988,1.876861,http://www.ville-saran.fr/marches,mercredi,07:30,13:00, à l'angle de la rue du Bourg et de la rue de Fontaine.
Mixte,SULLY SUR LOIRE,place de gaulle,47.765204,2.375130,http://www.sully-sur-loire.fr/pratique/le-marche,lundi,08:00,18:00,Il a lieu tous les lundis de 9h à 13h et toute la journée les jours fériés sur les boulevards et Place de Gaulle.
Mixte,SULLY SUR LOIRE,place de gaulle,47.765204,2.375130,http://www.sully-sur-loire.fr/pratique/le-marche,jours fériés,09:00,18:00,Il a lieu tous les lundis de 9h à 13h et toute la journée les jours fériés sur les boulevards et Place de Gaulle.
Mixte,SULLY SUR LOIRE,place de Gaulle,47.765204,2.375130,http://www.sully-sur-loire.fr/pratique/le-marche,un dimanche par mois de avril à octobre,09:00,12:30,"Le marché des saveurs se tient Place de Gaulle, uniquement le matin, de 9h à 12h30, sur la période de avril à octobre, à raison d’un dimanche par mois."
Mixte,Tigy,Chemin de Saint-Ilgen,47.794107,2.198887,,samedi,08:00,13:00,
Mixte,TRAINOU,Place Léon Pierrot,47.975361,2.103301,,vendredi,07:30,12:00,
Alimentaires,VITRY AUX LOGES,Place de la République,47.938497,2.266714,,mercredi,09:00,12:00,
Mixte,YEVRE LE CHATEL,place du bourg,48.160081,2.335079,,dimanche,07:00,13:00,
